Time (min),Temperature (Â°C)
0,24.0
1,23.8
2,23.6
3,23.400000000000002
4,23.200000000000003
5,23.000000000000004
6,22.800000000000004
7,22.600000000000005
8,22.400000000000006
9,22.200000000000006
10,22.000000000000007
11,21.800000000000008
12,21.60000000000001
13,21.40000000000001
14,21.40000000000001
15,21.40000000000001
16,21.40000000000001
17,21.40000000000001
18,21.40000000000001
19,21.40000000000001
20,24.40000000000001
21,24.40000000000001
22,24.20000000000001
23,24.00000000000001
24,23.80000000000001
25,23.600000000000012
26,23.400000000000013
27,23.200000000000014
28,23.000000000000014
29,22.800000000000015
30,22.600000000000016
31,22.400000000000016
32,22.200000000000017
33,22.000000000000018
34,21.80000000000002
35,21.60000000000002
36,21.40000000000002
37,21.40000000000002
38,21.40000000000002
39,21.40000000000002
40,21.40000000000002
41,21.40000000000002
42,21.40000000000002
43,21.40000000000002
44,21.40000000000002
45,21.40000000000002
46,21.40000000000002
47,21.40000000000002
48,21.40000000000002
49,21.40000000000002
50,21.40000000000002
51,21.40000000000002
52,21.40000000000002
53,21.40000000000002
54,21.40000000000002
55,21.40000000000002
56,21.40000000000002
57,21.40000000000002
58,21.40000000000002
59,21.40000000000002
60,21.40000000000002
61,21.40000000000002
62,21.40000000000002
63,21.40000000000002
64,21.40000000000002
65,21.40000000000002
66,21.40000000000002
67,21.40000000000002
68,21.40000000000002
69,21.40000000000002
70,23.40000000000002
71,23.20000000000002
72,23.00000000000002
73,22.800000000000022
74,22.600000000000023
75,22.400000000000023
76,22.200000000000024
77,22.000000000000025
78,21.800000000000026
79,21.600000000000026
80,21.400000000000027
81,21.400000000000027
82,21.400000000000027
83,21.400000000000027
84,21.400000000000027
85,21.400000000000027
86,21.400000000000027
87,21.400000000000027
88,21.400000000000027
89,21.400000000000027
90,21.400000000000027
91,21.400000000000027
92,21.400000000000027
93,21.400000000000027
94,21.400000000000027
95,21.400000000000027
96,21.400000000000027
97,21.400000000000027
98,21.400000000000027
99,21.400000000000027
100,21.400000000000027
